Date,Close/Last,Volume,Open,High,Low
03/27/2020,$190.55,7121658,$188.49,$196.3827,$186.5
03/26/2020,$195.21,10174080,$183.49,$198.2,$182.5
03/25/2020,$181.76,11497380,$184.42,$191.545,$180
03/24/2020,$184.72,14676620,$173.39,$185.67,$172.01
03/23/2020,$162.39,12241620,$150.06,$164.93,$146.34
03/20/2020,$152.15,12602420,$162.78,$170.22,$151.81
03/19/2020,$161.13,13499060,$153.16,$162.91,$142
03/18/2020,$155.63,14681870,$159.8,$162.33,$140.63
03/17/2020,$173.64,16234410,$168.21,$174.78,$155.3
03/16/2020,$164.96,12536630,$181.97,$186.1,$163.11
03/13/2020,$205.67,10292300,$200.45,$205.82,$190
03/12/2020,$190.59,10928670,$195.41,$206.58,$184.84
03/11/2020,$212.89,7261975,$217.3,$219.15,$210.5
03/10/2020,$225.7,7206600,$217.21,$225.83,$211
03/09/2020,$210.46,10120510,$213.87,$216.18,$207.25
03/06/2020,$228.51,7400162,$227.57,$230.29,$222.25
03/05/2020,$234.81,6473854,$236.6,$239.6099,$233.15
03/04/2020,$241.08,6769978,$233.01,$241.32,$231.8
03/03/2020,$227.94,8432488,$230.03,$235.82,$225.5705
03/02/2020,$229.94,7150821,$219.98,$230,$218.49
02/28/2020,$217.84,11814660,$218.63,$221.0599,$212.33
02/27/2020,$224.73,7612793,$231.07,$234.82,$224.57
02/26/2020,$235.28,6965709,$239.1,$241.0407,$234.32
02/25/2020,$237.38,8061529,$246.1,$246.97,$236.48
02/24/2020,$239.7,5350146,$238.48,$243.11,$237.7
02/21/2020,$245.34,3881083,$246.5,$247.36,$244
02/20/2020,$247.02,3701834,$243.69,$247.12,$242.15
02/19/2020,$243.64,2713341,$244.91,$245.5,$243.01
02/18/2020,$243.94,2893400,$244.84,$246.11,$243.16
02/14/2020,$245.03,2841585,$243.44,$245.2,$242.63
02/13/2020,$242.36,2468189,$240.97,$243.6,$240.4
02/12/2020,$241.59,3592140,$242.13,$242.3003,$238.84
02/11/2020,$241.64,2692405,$240.61,$242.45,$240.2035
02/10/2020,$240.61,2568037,$236.6,$240.61,$236.18
02/07/2020,$237.3,2456067,$238.84,$239.5299,$236.52
02/06/2020,$238.84,3930383,$238,$239.405,$237.48
02/05/2020,$238.11,3868791,$237.1,$238.32,$235.86
02/04/2020,$235,3505081,$234.03,$236.36,$234.03
02/03/2020,$231.54,5101207,$230.3,$233.53,$229.35
01/31/2020,$228.1,5304743,$232.96,$233.233,$227.89
01/30/2020,$232.79,4685674,$232,$233.295,$231.57
01/29/2020,$234.02,2564540,$234.9,$235.88,$233.4
01/28/2020,$233.86,3622093,$231.82,$235.25,$231.35
01/27/2020,$231.19,3595928,$228.2,$232.47,$228.2
01/24/2020,$232,4467501,$234.46,$235.43,$230.56
01/23/2020,$233.65,4617883,$232.13,$234.8167,$230.64
01/22/2020,$232.9,4030827,$233.79,$236.53,$232.8759
01/21/2020,$232.95,4873853,$231.53,$233.66,$231.06
01/17/2020,$231.91,7979597,$229.61,$232.6,$228.91
01/16/2020,$228.82,5390755,$225.93,$228.86,$225.4
01/15/2020,$224.59,3444310,$222.28,$224.98,$222.13
01/14/2020,$222.81,3916025,$222.48,$224.9458,$222.31
01/13/2020,$223.34,6061943,$224.5,$224.51,$222.68
01/10/2020,$224.22,4226760,$224.75,$225.49,$223.03
01/09/2020,$225.19,4844154,$222.64,$225.55,$221.85
01/08/2020,$221.79,4916829,$218.8,$222.97,$218.665
01/07/2020,$218.52,5696660,$219.5,$220.56,$216.9
01/06/2020,$219.96,5683576,$216.49,$220,$216.4
01/03/2020,$218.93,3425706,$217.14,$219.68,$216.75
01/02/2020,$219.66,3936097,$219.08,$219.76,$217.8401
12/31/2019,$218.38,3790250,$217.1,$218.51,$216.44
12/30/2019,$217.31,3952771,$220.37,$220.49,$216.5479
12/27/2019,$219.97,3082875,$221.2,$221.79,$219.78
12/26/2019,$220.82,2650339,$220.74,$221.1532,$219.59
12/24/2019,$220.67,2260656,$219.5,$221.04,$219.22
12/23/2019,$219.21,3945353,$222,$222,$219.14
12/20/2019,$221.19,7778259,$220.59,$221.569,$219.8
12/19/2019,$220.22,5765685,$218.48,$220.77,$218.28
12/18/2019,$218,6678292,$218.21,$219.59,$217.64
12/17/2019,$217.72,7578895,$216.02,$219.45,$215.87
12/16/2019,$215.53,5851489,$214.43,$216.715,$214.3
12/13/2019,$214.08,6870348,$212.12,$214.23,$210.67
12/12/2019,$212.04,9916525,$212.5,$214.13,$210.73
12/11/2019,$212,8286340,$211.03,$213.65,$210.61
12/10/2019,$215.9,4664413,$216.52,$216.69,$215.1
12/09/2019,$216.53,5149564,$214.29,$217.88,$214.18
12/06/2019,$214.28,4194211,$214.21,$215.3595,$213.9
12/05/2019,$213,4581409,$214.36,$214.5,$211.7701
12/04/2019,$214.1,4256397,$213.5,$214.96,$213.19
12/03/2019,$214,6734092,$216.45,$216.45,$212.9305
12/02/2019,$217.62,4428499,$220.9,$221.19,$217.46
11/29/2019,$220.51,2952948,$223.3,$223.33,$220.29
11/27/2019,$223,6691487,$221.68,$223.4496,$220.664
11/26/2019,$220.76,9988417,$218.76,$220.96,$218.39
11/25/2019,$218.4,8869811,$218,$218.53,$216.88
11/22/2019,$218.03,5786478,$218.5,$219.13,$217.81
11/21/2019,$218.54,7823720,$221.94,$222.31,$218.5
11/20/2019,$220.9,10228810,$224.55,$225,$220.57
11/19/2019,$225.86,14984830,$230.6,$233.12,$225.4
11/18/2019,$238.85,5766962,$238.44,$239.3091,$236.76
11/15/2019,$237.29,3526672,$237.69,$238.05,$236.36
11/14/2019,$236.55,2283848,$235,$236.94,$234.04
11/13/2019,$234.8,2625015,$232.09,$234.9,$230.85
11/12/2019,$233.12,2991171,$232.15,$234.63,$232
11/11/2019,$231.8,2310669,$230.5,$232.28,$230.18
11/08/2019,$232.84,2088455,$232.8,$233.26,$231.6313
11/07/2019,$232.94,2832865,$234,$235.79,$231.76
11/06/2019,$234.01,2631943,$232.83,$234.04,$231.89
11/05/2019,$232.2,3624629,$234.74,$234.92,$230.27
11/04/2019,$234.92,2542426,$238.27,$238.39,$233.88
11/01/2019,$237.34,2197403,$236.07,$237.445,$235.061
10/31/2019,$234.58,2824072,$236.86,$237.39,$233.22
10/30/2019,$236.24,1956669,$233.51,$236.6,$232.88
10/29/2019,$234.14,2558004,$236.84,$237.5,$233.92
10/28/2019,$236.8,2705001,$234.95,$236.96,$234.56
10/25/2019,$234.38,2210872,$233.49,$235.42,$232.55
10/24/2019,$233.89,2184113,$234.81,$236.37,$233.07
10/23/2019,$234.67,2138451,$236.66,$237.41,$234.36
10/22/2019,$237.2,2022890,$237.3,$238.3,$236.516
10/21/2019,$236.7,2079644,$238.26,$238.99,$235.61
10/18/2019,$237.93,3663925,$236.99,$238.73,$235.64
10/17/2019,$236.77,2296853,$236.36,$238.1736,$235.51
10/16/2019,$235.9,2389282,$235.42,$236.17,$233.84
10/15/2019,$235.62,2667156,$234.69,$236.86,$234.6
10/14/2019,$234.18,2538129,$234.22,$235.485,$234.06
10/11/2019,$234.66,3479059,$234.32,$236.7,$233.76
10/10/2019,$231.61,3052401,$229.34,$232.24,$229.08
10/09/2019,$228.94,2675389,$228.5,$229.56,$226.61
10/08/2019,$226.67,3567904,$225.36,$228.78,$225.1
10/07/2019,$226.74,2967658,$227.51,$228.13,$226.05
10/04/2019,$227.93,3188709,$227.17,$229.21,$227.02
10/03/2019,$226.81,2972928,$225,$226.81,$222.12
10/02/2019,$225.55,4371896,$230.6,$230.6,$224.34
10/01/2019,$231.08,3530209,$233.01,$234.51,$230.72
09/30/2019,$232.02,3258468,$230.19,$232.59,$230.12
09/27/2019,$229.86,3152242,$231.61,$231.75,$229.13
09/26/2019,$229.79,4383280,$229.68,$231.12,$229
09/25/2019,$228.1,3969380,$226.59,$228.45,$224.5
09/24/2019,$225.41,4518353,$228.14,$230.2383,$224.78
09/23/2019,$226.25,2955323,$224.16,$227.14,$223.95
09/20/2019,$224.67,7797035,$227.99,$230.05,$224.23
09/19/2019,$228.12,3254884,$231.15,$231.4,$227.95
09/18/2019,$230.83,3423131,$230.37,$231.53,$229.01
09/17/2019,$230.21,3806137,$226.79,$230.33,$226.47
09/16/2019,$230.99,3120219,$232.73,$233.61,$230.61
09/13/2019,$233.98,3805519,$234.33,$234.97,$232.33
09/12/2019,$233.8,3366138,$233.42,$235.49,$233.11
09/11/2019,$232.66,2978346,$232.93,$233.68,$231.02
09/10/2019,$233,4210672,$232.25,$233.02,$229.7117
09/09/2019,$232.87,4449066,$231.5,$233.87,$230.075
09/06/2019,$231.13,3237893,$228.7,$231.37,$227.88
09/05/2019,$228.15,3373539,$226.3,$228.78,$226.25
09/04/2019,$224.15,3146989,$223.95,$224.15,$220.67
09/03/2019,$224.07,4139414,$226.45,$227.63,$223.38
08/30/2019,$227.91,3769326,$228.43,$229.27,$226.69
08/29/2019,$227.32,4184912,$223.9,$227.7,$223.76
08/28/2019,$221.95,3072754,$217.88,$222.09,$217.11
